name,group,features,mae,rmse,r2,pct_error
Text-Only Baseline,baseline,59,125.58837204593749,382.00071618151753,0.5134176414688947,34.67337855878065
Face Detection Only,face,60,126.880930258726,383.69081782925895,0.5091025036068135,35.030237712945684
Text Detection Only,text,61,129.53591909533935,385.55473878870015,0.5043214843479435,35.76324691994105
Color Features Only,color,63,129.0636634236438,375.9115959390545,0.5288063267278611,35.63286303634996
Quality Features Only,quality,62,125.44845999433444,380.8142756290338,0.5164354605980503,34.63475059146857
Video Features Only,video,64,126.10800344399162,377.464882796899,0.5249042866155789,34.81684228780462
Face + Text Detection,combined,62,129.42187037549832,384.4089482162979,0.5072632189771005,35.73175949500854
All Image Features,combined,69,125.62819430453331,369.6354772628729,0.5444088278202213,34.68437298624925
All Enhanced Visual,combined,74,131.73420424803714,374.6860305680073,0.5318737356249479,36.370165952634274
