name,mae,r2,visual_importance
Text Only,144.22256223831644,0.45472264649186644,0.0
Text + Sharpness,142.80773358989902,0.44966859215001087,0.02719320631645802
Text + Noise,143.01534819009507,0.4484403777052768,0.030246587935230145
Text + Brightness,143.0103198008495,0.4514015382941772,0.030969274744338828
Text + Exposure_Quality,143.10806184318898,0.45348223444051083,0.02605384190601374
Text + Color_Harmony,145.80225528177021,0.44716997748136567,0.030762673072259227
Text + Saturation,142.93755149933705,0.44880655348529297,0.04361648861855963
Text + Saturation_Variance,145.8651973406789,0.44761373949453576,0.02740774431565959
Text + Luminance_Contrast,142.92303343655752,0.4512653631449369,0.028169283407104395
Text + All NIMA (8),136.58883779175142,0.4599395797008098,0.10255419607953377
