experiment_id,name,timestamp,duration_s,model_type,train_mae,test_mae,train_r2,test_r2,train_rmse,test_rmse,train_time,tags
baseline_cyclic_lag_20251004_002409_e9062756,baseline_cyclic_lag,2025-10-04T00:24:11.884594,2.0595827102661133,stacking_gb,128.33227291054698,125.69342062591195,0.09107533224628317,0.0729594353491021,407.34842531399744,258.8818032869666,1.8925135135650635,"ablation,temporal,lag"
temporal_vit_20251004_002450_10495af3,temporal_vit,2025-10-04T00:24:53.398870,3.292776584625244,stacking_gb,125.7770505980892,126.52994411178025,0.17230383571669228,0.1300036560632517,388.72061041632077,250.7903778942405,2.9142682552337646,"ablation,temporal,vit"
baseline_vit_pca50_20251004_002442_ac615a0e,baseline_vit_pca50,2025-10-04T00:24:45.790949,3.092477798461914,stacking_gb,157.46503783427758,146.78144131813076,0.13374649239781955,-0.12351085567135711,397.6716212192805,284.9973308281327,2.773699998855591,"ablation,vit,pca50"
baseline_cyclic_20251004_002407_348fd741,baseline_cyclic,2025-10-04T00:24:09.813542,2.0125722885131836,stacking_gb,160.14674058409977,149.23590308010677,0.11342952953889918,-0.05936848169215336,402.30805462880926,276.74238531036355,1.8556673526763916,"ablation,temporal"
baseline_only_20251004_002405_e040529f,baseline_only,2025-10-04T00:24:07.793037,2.045637369155884,stacking_gb,179.57985416810757,158.03374037573735,0.0107482891952414,-0.16333856667548474,424.96728836256466,290.00482195760236,1.889451265335083,"ablation,baseline"
full_model_20251004_002453_91a8683d,full_model,2025-10-04T00:25:02.284613,8.871373414993286,stacking_gb,106.57940357182785,170.07558719930626,0.541965627137732,-0.22285922833981964,289.1685997605524,297.3311350289756,8.210150241851807,"ablation,full,best"
temporal_bert_20251004_002445_8ead74a6,temporal_bert,2025-10-04T00:24:50.098594,4.299074411392212,stacking_gb,120.29442970180202,170.42003095042367,0.5309706066094845,-0.20701484700209205,292.6187338658586,295.3986200489366,3.797780752182007,"ablation,temporal,bert"
baseline_bert_pca100_20251004_002438_3a4e9758,baseline_bert_pca100,2025-10-04T00:24:42.692309,4.31922173500061,stacking_gb,120.68995652665241,194.44606349464223,0.3464861278968089,-0.15532028879433324,345.40570155741483,289.00366888921354,3.8857803344726562,"ablation,bert,pca100"
baseline_bert_nopca_20251004_002411_675e6960,baseline_bert_nopca,2025-10-04T00:24:34.773409,22.87349224090576,stacking_gb,123.62559405767873,209.5611217672702,0.38656381247979854,-0.7336219116374911,334.6468896055246,354.0212651940655,22.3351788520813,"ablation,bert,nopca"
baseline_bert_pca50_20251004_002434_af3acfc2,baseline_bert_pca50,2025-10-04T00:24:38.359221,3.57258677482605,stacking_gb,129.94150034100232,217.42903827163005,0.39816796585222114,-0.849714230070229,331.46657972700314,365.68275053330547,3.233854055404663,"ablation,bert,pca50"
